NOME;REGISTRO;NASCIMENTO;IABCZ;DECA;F;DEP_PN_ED;DEP_PD_ED;DEP_PA_ED;DEP_PS_ED;DEP_PM_EM;DEP_TMD;DEP_IPP;DEP_STAY;DEP_PE_365;DEP_PE_450;DEP_E;DEP_P;DEP_M;DEP_AOL;DEP_ACAB;DEP_MAR;AC_PN_ED;AC_PD_ED;AC_PA_ED;AC_PS_ED;AC_PM_EM;AC_TMD;AC_IPP;AC_STAY;AC_PE_365;AC_PE_450;AC_E;AC_P;AC_M;AC_AOL;AC_ACAB;AC_MAR;DECA_PN_ED;DECA_PD_ED;DECA_PA_ED;DECA_PS_ED;DECA_PM_EM;DECA_TMD;DECA_IPP;DECA_STAY;DECA_PE_365;DECA_PE_450;DECA_E;DECA_P;DECA_M;DECA_AOL;DECA_ACAB;DECA_MAR
ADDITIVUS_DA_LACADA;BETO3195;18/10/2013;17,69;1;0;0,61;6,29;7,98;13,06;3,65;8,03;-10,88;36,81;0,995;1,149;0,982;1,842;1,871;0,52;-1,013;-0,9;78;76;59;76;42;_;41;29;40;72;46;46;46;56;44;44;10;1;1;1;1;1;2;1;1;1;3;2;1;4;9;9
IATE_DO_IZ;IZSNA2181;12/09/2009;17,66;1;0,78;-0,56;5,72;10,37;16,48;1,91;4,7;-11,45;39,52;0,208;0,837;1,139;3,028;2,443;-0,247;1,969;0,85;77;80;72;78;60;_;55;24;50;69;48;48;48;66;55;53;1;1;1;1;2;1;2;1;4;1;2;1;1;7;1;2
EPICO_RG;RGM3330;01/02/2013;17,64;1;0;0,58;8,48;11,24;13,87;5,65;10,54;-10,62;32,4;0,783;1,349;0,441;3,85;2,026;0,115;-0,797;2,61;90;93;91;92;61;_;58;27;86;86;82;82;82;82;74;67;10;1;1;1;1;1;2;3;1;1;5;1;1;5;9;1
CIFRAO_FVC;FVC10971;27/10/2015;17,59;1;0,59;0,04;4,9;9;12;3,21;5,41;-19,94;38,2;0,392;0,874;-0,746;1,734;3,619;2,485;4,686;-0,18;87;87;73;76;42;_;32;28;60;58;48;48;48;67;57;46;5;2;1;1;1;1;1;1;2;1;9;2;1;1;1;6
678_FIV_DA_TERRA_BRAVA;EPCF678;16/09/2013;17,59;1;1,4;0,51;8,08;12,32;18,97;3,17;8,68;-15,87;30,75;0,989;1,147;2,526;4,017;3,078;0,141;2,639;-2,11;87;88;87;88;64;_;57;29;79;81;78;78;78;84;78;56;10;1;1;1;1;1;1;4;1;1;1;1;1;5;1;10
384_PO_ TO_DA_LACADA;BETM384;27/08/2010;17,57;1;0,59;-0,4;4,92;9,93;18,15;-0,11;2,66;-28,29;36,73;0,367;1,097;0,663;6,735;4,429;3;2,168;-0,63;78;76;61;76;48;_;44;35;39;70;35;35;35;40;28;27;1;2;1;1;6;3;1;1;2;1;4;1;1;1;1;6
GUAPO_FIV_CAMPARINO;JHVM16068;17/08/2017;17,52;1;1,95;0,26;7,85;11,29;18,52;0,28;4,44;-10,49;35,66;1,248;1,496;2,667;5,329;3,713;4,808;1,49;-0,3;73;72;45;45;20;_;18;10;21;24;18;18;18;23;20;17;8;1;1;1;5;1;2;1;1;1;1;1;1;1;1;7
B8709 DA MN;MANAB8709;16/11/1995;17,44;1;6,84;0,65;8,96;13,29;19,55;2,98;8,07;-9,25;34,12;0,017;0,14;1,412;0,774;1,011;2,702;-0,62;1,94;76;76;73;72;67;_;55;47;64;67;52;52;52;40;29;25;10;1;1;1;1;1;3;1;6;5;2;4;3;1;8;1
OLDPARR_DA_DI_GENIO;JCDG8614;10/07/2016;17,41;1;0,39;0,5;8,43;13,29;18,34;3,71;8,89;-11,88;33,32;0,019;0,307;0,425;2,466;1,307;4,14;0,881;1,1;72;72;68;70;36;_;30;22;62;56;43;43;43;45;34;33;10;1;1;1;1;1;2;2;6;3;5;1;2;1;2;1
3740_DA_BSB;EMCC3740;26/09/2015;17,39;1;0,78;-0,19;5,68;9,48;13,24;2,59;5,87;-18,84;35,62;1,02;1,479;1,9;4,053;4,037;-0,148;-0,56;-0,3;33;71;65;67;22;_;18;10;60;55;37;37;37;53;41;12;2;1;1;1;1;1;1;1;1;1;1;1;1;7;8;7
IMPONENTE_FIV_COL;COLA9127;30/11/2009;17,35;1;0;-0,2;2,76;8,23;13,35;3,64;5,64;-10,33;40,62;0,48;0,91;0,834;3,71;3,017;2,418;2,201;-1,11;77;77;75;77;63;_;56;52;711;73;59;59;59;59;47;26;2;3;1;1;1;1;2;1;1;1;3;1;1;1;1;10
NOTURNO;REMC807;22/11/2002;17,32;1;1,17;-0,72;1,2;8,23;9,01;1,01;2,44;-32,06;41,6;0,475;0,724;0,467;2,562;2,758;2,978;0,898;0,69;88;88;86;88;81;_;74;71;79;84;77;77;77;83;18;66;1;5;3;2;3;3;1;1;1;1;4;1;1;1;2;2
NORTE_642;ASAA642 ;14/12/2007;17,32;1;0,78;-0,39;4,24;9,67;13,48;2,05;4,8;-28,38;36,52;0,254;0,827;0,388;3,796;4,043;1,254;1,254;1,47;75;74;70;72;52;_;39;32;56;62;71;71;71;27;27;18;1;2;1;1;1;1;1;1;3;1;5;1;1;2;2;1
ZUM_DE_CV;CVCV1473;01/09/2013;17,31;1;0,78;0,35;10,46;16,43;22,89;1,91;7,41;-18,98;27,54;0,675;1,02;0,577;4,887;3,34;1,87;1,442;1,15;82;84;77;80;39;_;45;27;69;70;57;57;57;56;43;39;9;1;1;1;2;1;1;8;1;1;4;1;1;1;1;1
IAOP_05_530;IAOP530;09/12/2005;17,27;1;0;0,53;2,08;8,54;16,06;4,17;7,95;-7,38;39,53;0,334;0,142;0,618;2,749;2,173;2,947;0,558;-0,3;76;74;72;74;59;_;44;31;22;24;17;17;17;70;63;14;10;4;1;1;1;1;3;1;2;5;4;1;1;1;3;7
MENTOR DA GREN.;GRENA2737;02/09/2016;17,27;1;1,95;-0,30;85;2;3,14;83;3;5,15;74;3;4,65;79;4;4,20;23;1;7,25;0;1;-14,61;20;1;41,71;19;1;0,723;47;1;0,644;71;2;-4,554;82;10;3,107;82;1;1,669;82;2;-1,220;27;10;-0,122;18;6;0,12;18;5
AL CAPONE MAT.;RDM8240;07/08/2015;17,27;1;0,0;0,81;90;10;7,57;91;1;11,81;89;1;17,87;90;1;3,88;54;1;8,64;0;1;-8,75;46;3;30,93;23;4;1,590;83;1;1,763;85;1;1,163;82;2;4,775;82;1;3,777;82;1;0,237;76;5;-0,879;67;9;-0,42;49;7
TANGO DO IZ;IZSN4882;05/10/1999;17,27;1;0,0;0,36;85;9;5,06;87;2;6,49;85;2;11,28;86;1;-0,27;79;6;1,01;0;5;-18,96;73;1;44,13;70;1;-0,027;72;6;-0,062;79;6;1,924;84;1;4,244;84;1;1,871;84;1;1,529;59;1;1,440;47;1;1,98;38;1
OXOHSSE DA VP;VAM2326;06/11/2008;17,22;1;0,39;0,74;44;10;8,33;77;1;10,14;73;1;10,81;76;1;3,10;50;1;8,86;0;1;-3,60;48;4;38,70;34;1;0,294;60;3;0,277;62;4;1,914;64;1;2,260;64;1;3,150;64;1;1,128;28;2;1,062;18;1;1,90;15;1
REM CAPATAZ;REM8811;23/09/2013;17,11;1;0,0;1,17;86;10;8,58;88;1;10,88;84;1;16,38;87;1;-0,14;66;6;2,77;0;3;-22,56;60;1;35,55;21;1;0,431;75;2;0,656;82;2;1,765;74;1;4,604;74;1;4,406;74;1;4,353;79;1;1,091;71;1;0,13;54;5
SATURNO CHIC PAUL;CHIC1865;01/10/2009;17,08;1;0,39;0,90;65;10;10,96;70;1;11,77;63;1;13,63;67;1;2,15;39;1;8,41;0;1;-6,42;48;3;35,21;42;1;0,394;29;2;0,683;45;1;1,786;44;1;1,562;44;2;2,335;44;1;3,128;50;1;2,165;38;1;2,48;40;1
BARUCK MAT.;RDM9130;28/08/2016;17,07;1;0,0;1,02;89;10;10,22;89;1;17,14;87;1;22,76;89;1;1,54;36;2;7,44;0;1;-17,29;29;1;26,83;21;9;1,018;79;1;1,372;81;1;1,594;82;1;4,744;82;1;3,446;82;1;3,192;83;1;2,009;76;1;0,87;61;2
MAP DO BATUQUE;FBFM6505;23/09/2015;17,07;1;0,0;-0,86;90;1;1,00;90;5;6,42;85;2;9,69;87;2;4,16;54;1;5,51;0;1;-35,59;36;1;34,72;28;1;1,098;78;1;2,039;81;1;0,959;68;3;6,164;68;1;5,564;68;1;2,460;72;1;3,488;61;1;-0,07;35;6
BULLOOG TE M.VERDE;ISP97;22/08/2000;17,06;1;1,66;0,13;84;6;3,32;84;3;7,44;78;2;16,03;82;1;-1,22;79;9;1,58;0;4;-39,85;76;1;36,36;72;1;0,450;63;2;0,711;72;1;1,605;70;1;0,990;70;3;0,871;70;3;0,512;54;4;1,144;42;1;-0,46;39;8
NUR SARAI MAT.;RDM4479;01/10/2009;17,05;1;1,37;0,20;84;7;4,82;85;2;10,76;83;1;17,35;84;1;5,24;76;1;8,98;0;1;-7,34;71;3;33,60;68;2;0,985;77;1;1,631;79;1;2,180;74;1;3,137;74;1;1,909;74;1;-0,257;70;7;0,960;58;2;1,74;29;1
NAVIRAI ROE FIV;CSCN14735;18/08/2015;17,03;1;0,0;0,68;80;10;8,89;81;1;10,33;78;1;13,58;80;1;1,10;38;3;5,46;0;1;-3,14;26;5;37,43;18;1;1,218;57;1;1,673;55;1;2,616;52;1;3,340;52;1;1,839;52;2;3,145;66;1;1,158;53;1;2,70;49;1
JHVM 12659 FIV CAMPARINO;JHVM12659;03/10/2014;17,03;1;4,49;0,06;93;5;5,06;93;2;11,24;90;1;17,61;91;1;3,35;49;1;7,06;0;1;-8,01;44;3;35,59;28;1;0,772;83;1;0,817;84;1;1,262;83;2;6,086;83;1;7,089;83;1;1,786;79;1;2,550;69;1;-0,28;41;7
RAUSOR DO BOITEL;SGP3885;31/07/2009;17,02;1;0,0;0,59;93;10;8,41;94;1;13,95;92;1;18,57;93;1;3,04;79;1;7,66;0;1;-1,59;83;5;34,40;46;1;0,631;86;1;0,834;89;1;3,410;88;1;5,832;88;1;5,253;88;1;0,058;84;6;-1,809;76;10;-1,81;68;10
7308/04 PO PERDIZES;QUIL7308;14/12/2004;17,02;1;0,0;0,86;96;10;11,28;96;1;13,55;95;1;15,92;96;1;3,41;92;1;9,85;0;1;-4,59;91;4;31,36;88;4;0,844;92;1;1,036;94;1;1,918;94;1;2,909;94;1;3,092;94;1;3,415;90;1;0,184;86;4;3,06;76;1
C6653 DA MN;LBMNC6653;13/11/2001;16,98;1;12,5;-0,22;71;2;4,41;74;2;6,05;68;2;8,71;71;2;0,60;59;4;3,98;0;2;-21,26;52;1;41,68;37;1;0,340;61;2;0,341;69;3;1,617;65;1;1,446;65;3;-0,089;65;6;0,269;60;5;1,717;48;1;0,93;49;2
