NOME;REGISTRO;NASCIMENTO;IABCZ;DECA;F;DEP_PN_ED;DEP_PD_ED;DEP_PA_ED;DEP_PS_ED;DEP_PM_EM;DEP_TMD;DEP_IPP;DEP_STAY;DEP_PE_365;DEP_PE_450;DEP_E;DEP_P;DEP_M;DEP_AOL;DEP_ACAB;DEP_MAR;AC_PN_ED;AC_PD_ED;AC_PA_ED;AC_PS_ED;AC_PM_EM;AC_TMD;AC_IPP;AC_STAY;AC_PE_365;AC_PE_450;AC_E;AC_P;AC_M;AC_AOL;AC_ACAB;AC_MAR;DECA_PN_ED;DECA_PD_ED;DECA_PA_ED;DECA_PS_ED;DECA_PM_EM;DECA_TMD;DECA_IPP;DECA_STAY;DECA_PE_365;DECA_PE_450;DECA_E;DECA_P;DECA_M;DECA_AOL;DECA_ACAB;DECA_MAR
RAIO_DA_JHR;JHR2519;28/08/2011;21,75;1;0,0;0,35;6,00;10,64;14,13;0,44;4,32;-34,47;41,45;0,449;1,470;1,658;2,878;3,231;0,356;-0,384;-1,10;73;74;72;74;61;_;55;40;58;61;39;39;39;48;36;30;9;1;1;1;5;1;1;1;2;1;1;1;1;5;7;10
BYO_FIV_COL;COL24747;28/09/2016;21,74;1;0,39;0,27;5,00;9,80;11,56;4,66;9,45;24,19;39,72;0,927;1,137;2,412;5,409;3,766;2,089;2,370;0,14;75;72;62;67;22;_;21;18;51;52;18;18;18;37;22;17;8;2;1;1;1;1;1;1;1;1;1;1;1;1;1;5
ATOL_DA_ELGE;ELGE3910;27/08/2015;21,64;1;1,86;-0,69;8,85;12,93;17,04;3,87;8,75;-13,02;39,12;0,51;0,757;2,207;7,114;5,585;1,685;7,326;4,11;82;81;64;78;27;_;22;13;47;69;62;62;62;78;72;72;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1
NAVIRAI_MAGNUM;CSCN12622;06/08/2012;21,52;1;0,0;0,21;6,41;9,65;12,58;2,12;6,27;-25,34;41,68;0,645;1,072;0,831;4,904;4,96;2,846;3,52;1,63;90;90;88;89;70;_;65;20;79;82;75;75;75;81;73;62;7;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1
HOBBY_FIV_DA_BELA;AZAN1224;27/08/2010;21,52;1;0,0;-0,14;4,09;10,12;20,01;3,05;6,58;-14,83;40,82;1,110;1,841;1,744;3,967;4,615;3,464;1,172;-0,37;68;71;67;71;48;_;39;33;52;59;52;52;52;50;38;15;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;7
REM_EMPOLGADHO;REMC9121;17/08/2015;21,51;1;0,0;0,3;5,59;7,87;12,43;2,84;6,53;18,94;41,13;1,679;2,305;0,605;6,198;3,377;4,492;1,434;1,13;73;76;66;73;40;_;30;27;56;65;47;47;47;68;59;53;8;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1
INTERADO_DA_DI_GENIO;JCDN1977;28/08/2011;21,42;1;0,20;1,54;11,07;16,81;23,83;0,71;6,04;-13,14;38,32;-0,05;0,069;3,909;1,02;2,166;1,207;0,091;-0,13;73;74;72;75;50;_;43;31;65;69;57;57;57;46;32;25;10;1;1;1;4;1;2;1;7;5;1;3;1;2;55;6
D4685_DA_MN;LBMND4685;26/09/2009;21,41;1;4,10;0,12;3,23;8,4;12,89;5,02;8,19;-23,55;40,71;0,909;1,179;1,470;5,867;5,016;1,433;5,082;0,73;97;97;96;97;92;_;92;82;93;94;94;94;94;94;91;83;6;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2
IMPACTO_FIV_RG;RGM4376;08/10/2016;21,23;1;0,0;-0,06;7,30;10,64;15,34;0,96;5,07;-23,19;40,78;0,784;1,003;1,040;5,682;4,579;0,712;5,240;0,27;60;74;72;74;24;_;21;17;31;30;24;24;24;74;66;60;4;1;1;1;3;1;1;1;1;1;2;1;1;3;1;4
REM_CABALLERO;REM8747;13/09/2013;21,19;1;1,37;0,23;10,39;17,17;25,09;-0,51;5,68;-15,00;34,34;1,394;2,122;2,990;4,753;2,453;4,672;1,823;2,29;91;91;89;91;72;_;67;22;84;87;74;74;74;89;85;79;7;1;1;1;7;1;1;1;1;1;1;1;1;1;1;1
AVESSO_TE_DA_BELA;AZAN5;04/09/2003;21,17;1;0,0;0,17;5,56;10,22;14,22;3,76;7,57;-25,84;36,17;1,747;2,326;1,980;3,127;2,387;1,338;-0,155;-1,29;94;94;93;94;89;_;88;83;90;92;92;92;92;88;83;57;7;1;1;1;1;1;1;1;1;1;1;1;1;2;6;10
GHETO_FIV_DA_EUROPA;NCA3858;01/11/2012;21,16;1;0,0;-0,05;6,98;13,18;18,10;1,78;6,95;-20,47;37,81;0,988;1,137;-0,564;6,037;4,778;4,122;2,161;0,48;86;86;82;84;58;_;51;17;77;79;49;49;49;77;69;43;4;1;1;1;2;1;1;1;1;1;8;1;1;1;1;3
CONNAN_COL;COLA3203;20/11/2003;21,13;1;0,0;-0,07;4,95;11,46;16,69;2,92;6,20;-23,38;39,20;0,861;1,222;0,834;1,032;-0,168;1,361;2,666;0,14;84;85;83;84;72;_;66;60;75;80;78;78;78;68;56;29;4;2;1;1;1;1;1;1;1;1;3;3;6;2;1;5
NEHRU_MAT;RDM4305 ;04/09/2009;21,13;1;0,0;0,51;10,49;16,98;23,93;-1,42;4,04;-16,42;37,08;0,838;0,837;0,196;7,054;4,646;5,252;2,888;0,14;88;87;84;86;75;_;70;63;78;80;76;76;76;78;70;61;10;1;1;1;9;2;1;1;1;1;6;1;1;1;1;1
KOCHI_KA;KAPO330;20/10/2014;21,12;1;0,0;0,33;11,72;16,34;22,60;-1,84;3,98;-26,35;32,11;1,865;2,242;0,687;6,04;5,548;4,526;2,324;2,41;86;85;68;69;49;_;40;28;59;55;38;38;38;47;37;30;9;1;1;1;10;2;1;3;1;1;4;1;1;1;1;1
REM_STATES;REMC2673;09/10/2007;21,08;1;6,25;0,5;12,5;17,27;21,88;-0,49;4,95;-22,17;33,86;0,924;1,668;5,247;3,338;3,270;1,435;1,847;1,7;78;77;73;76;54;_;53;44;65;71;67;67;67;56;44;31;10;1;1;1;7;1;1;2;1;1;1;1;1;1;1;1
5612_ALO_BRASIL;MNS5612;21/09/2012;20,98;1;1,17;-0,03;4,82;7,22;10,34;4,11;7,80;-36,04;37,59;1,040;1,324;1,655;6,501;5,408;1,699;0,329;-4,67;90;90;88;89;74;-;65;27;84;84;76;76;76;85;79;50;4;2;2;1;1;1;1;1;1;1;1;1;1;1;7;10
COWBOY_MAT;RDMA645;23/10/2017;20,96;1;0,0;0,85;8,87;14,77;19,99;0,95;5,56;-22,43;35,53;1,098;1,545;0,089;0,586;0,484;2,551;1,13;0,64;86;86;60;61;36;_;28;24;45;47;39;34;39;43;35;31;10;1;1;1;3;1;1;1;1;1;6;4;5;1;1;2
GANGES_COL;COLA6879;23/09/2007;20,93;1;0,0;0,14;6,01;11,31;16,20;0,1;2,87;-22,76;41,22;1,127;1,489;1,288;7,245;6,717;2,048;0,799;-4,09;96;96;96;96;95;_;91;84;93;94;93;93;93;91;88;82;6;1;1;1;5;3;1;1;1;1;2;1;1;1;2;10
MASTER_DA_GREN;GRENA2618;25/08/2016;20,9;1;0,68;-0,29;4,42;8,40;11,02;4,83;9,27;-23,7;40,06;0,682;0,523;-2,051;3,237;1,526;0,989;1,832;1,76;82;81;67;75;36;_;29;27;41;68;77;77;77;42;31;30;2;2;1;1;1;1;1;1;1;2;10;1;2;2;1;1
A_471_NITRO_DA_GUAI;GUAIA471;22/08/2010;20,76;1;0,0;-0,07;8,68;11,79;19,75;3,39;9,34;-19,99;35,61;0,402;0,981;0,92;3,179;3,663;3,487;1,136;0,47;85;84;66;82;55;_;53;43;51;80;39;39;39;50;37;34;4;1;1;1;1;1;1;1;2;1;3;1;1;1;1;3
ENSAIO_TE_DA_BELA;AZAN757;06/08/2007;20,76;1;0,20;0,14;11,95;16,09;18,82;2,04;8,90;-15,85;33,91;0,749;1,421;3,212;2,704;2,625;1,405;1,495;-0,22;79;79;76;78;61;_;51;51;44;75;83;83;83;26;15;9;6;1;1;1;1;1;1;2;1;1;1;1;1;1;1;6
